City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
400,Santa Rosa,PH,14.3122,121.1114,76.98,92,100,11.9,overcast clouds
401,Shaoguan,CN,24.8,113.5833,50.0,86,53,2.42,broken clouds
402,Los Llanos De Aridane,ES,28.6585,-17.9182,60.55,72,0,6.91,clear sky
403,Sao Borja,BR,-28.6606,-56.0044,79.95,20,10,3.53,clear sky
404,Chahuites,MX,16.2833,-94.1833,85.05,48,1,14.99,clear sky
405,Filingue,NE,14.3521,3.3168,71.06,23,50,9.89,scattered clouds
406,Boqueron,PR,18.0269,-67.1691,79.95,76,66,1.99,broken clouds
407,Yerbogachen,RU,61.2767,108.0108,-2.94,99,100,2.73,overcast clouds
408,Hit,IQ,33.6416,42.8251,48.94,81,5,5.3,clear sky
409,Zaragoza,ES,41.6561,-0.8773,37.85,100,100,4.61,fog
410,Imeni Poliny Osipenko,RU,52.4201,136.4853,-24.18,100,100,1.99,overcast clouds
411,Iquique,CL,-20.2208,-70.1431,77.04,76,57,7.14,broken clouds
412,Jelgava,LV,56.65,23.7128,12.0,85,31,6.73,scattered clouds
413,Port Macquarie,AU,-31.4333,152.9167,66.88,81,93,13.62,light rain
414,Wajima,JP,37.4,136.9,41.99,63,99,7.09,overcast clouds
415,Ornskoldsvik,SE,63.2909,18.7153,20.35,93,100,4.61,light snow
416,Nanortalik,GL,60.1432,-45.2371,32.65,56,100,33.29,overcast clouds
417,Kirksville,US,40.1948,-92.5833,32.05,80,100,12.66,overcast clouds
418,Nanuque,BR,-17.8392,-40.3539,76.35,90,100,9.06,light rain
419,Columbus,US,39.9612,-82.9988,46.92,66,100,16.11,overcast clouds
420,Askos,GR,40.75,23.3833,46.8,80,7,4.27,clear sky
421,Udachnyy,RU,66.4167,112.4,-49.68,100,97,2.55,overcast clouds
422,Drumheller,CA,51.4617,-112.7101,17.44,79,100,6.91,overcast clouds
423,Ahuimanu,US,21.4447,-157.8378,81.61,69,40,6.91,scattered clouds
424,Puerto Del Rosario,ES,28.5004,-13.8627,62.35,67,0,9.22,clear sky
425,Porrentruy,CH,47.4153,7.0752,45.95,92,86,2.64,overcast clouds
426,Necochea,AR,-38.5473,-58.7368,68.09,73,52,13.15,broken clouds
427,Fort Frances,CA,48.5999,-93.4003,16.02,73,0,0.0,clear sky
428,Daru,PG,-9.0763,143.2092,81.88,77,100,13.76,overcast clouds
429,Richards Bay,ZA,-28.783,32.0377,71.26,95,100,10.29,moderate rain
430,Berlevag,NO,70.8578,29.0864,33.8,80,20,24.16,few clouds
431,Touho,NC,-20.7833,165.2333,81.18,75,100,4.12,light rain
432,Kayerkan,RU,69.3497,87.7602,-40.49,72,72,5.97,broken clouds
433,Mocuba,MZ,-16.8392,36.9856,74.26,87,4,3.13,clear sky
434,Ixtapa,MX,20.7,-105.2,83.28,44,1,5.03,clear sky
435,Emerald,AU,-23.5333,148.1667,79.34,71,100,3.67,overcast clouds
436,Evensk,RU,61.95,159.2333,-11.34,72,90,8.37,overcast clouds
437,Gonbad-E Qabus,IR,37.25,55.1672,46.42,69,83,1.43,broken clouds
438,Puerto Colombia,CO,10.9878,-74.9547,80.69,82,1,19.19,clear sky
439,Pergamino,AR,-33.89,-60.5736,87.19,14,7,9.26,clear sky
440,Odweyne,SO,9.4092,45.064,66.97,57,0,3.36,clear sky
441,Naousa,GR,40.6329,22.0534,45.64,67,9,4.74,clear sky
442,Canon City,US,38.441,-105.2424,48.36,26,0,8.05,clear sky
