City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
297,Abha,SA,49.68,clear sky,18.2164,42.5053,SAHAB
299,Sorong,ID,81.52,overcast clouds,-0.8833,131.25,Hotel Membramo Marina
300,Honningsvag,NO,31.75,broken clouds,70.9821,25.9704,Scandic Honningsvåg
301,Jatai,BR,67.96,overcast clouds,-17.8814,-51.7144,Hotel Rio Claro
302,Glenwood Springs,US,34.83,light snow,39.5505,-107.3248,Hotel Colorado
304,San Cristobal,VE,66.07,few clouds,7.7669,-72.225,Terra Sur
305,Saint George,US,51.44,clear sky,37.1041,-113.5841,"The Advenire, an Autograph Collection Hotel"
307,Fort Nelson,CA,1.94,overcast clouds,58.8053,-122.7002,Fort Nelson Hotel
308,Novo Aripuana,BR,72.5,overcast clouds,-5.1206,-60.3797,Hotel Novo Aripuanã
310,Kangayam,IN,66.11,scattered clouds,11.0,77.5667,Manis Lodge
312,Bellinzona,CH,47.5,overcast clouds,46.1928,9.017,Ristorante Albergo Croce Federale
313,Ulagan,RU,15.71,overcast clouds,50.6321,87.9563,Постоялый дом 11
314,Baiyin,CN,29.19,clear sky,36.5583,104.2081,红鹭宾馆
315,Lagoa,PT,58.91,overcast clouds,39.05,-27.9833,Casa da Madrinha
316,Rabo De Peixe,PT,58.51,scattered clouds,37.8,-25.5833,Pico do Refugio
317,San Matias,BO,75.49,broken clouds,-16.3667,-58.4,Hotel San Jose
318,Sitka,US,40.89,overcast clouds,57.0531,-135.33,Aspen Suites Hotel
320,Golden,US,37.02,broken clouds,39.7555,-105.2211,The Golden Hotel
322,Saint-Jean-De-La-Ruelle,FR,51.91,overcast clouds,47.9113,1.8648,Ibis Styles Orleans
323,Altea,ES,56.68,clear sky,38.5989,-0.0514,Altea Suite Vault
325,Monrovia,LR,78.22,few clouds,6.3005,-10.7969,Bella Casa Hotel
326,Port Moresby,PG,78.84,overcast clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
327,Simpsonville,US,49.62,clear sky,34.7371,-82.2543,WoodSpring Suites
328,Sarkand,KZ,33.66,overcast clouds,45.41,79.9186,Сарканд
329,Oskarshamn,SE,33.98,overcast clouds,57.2645,16.4484,Clarion Collection Hotel Post
330,Pinawa,CA,1.85,broken clouds,50.1489,-95.8811,Pinawa Motor Inn
331,Cabo San Lucas,MX,72.18,clear sky,22.8909,-109.9124,Comfort Rooms
332,Ponta Delgada,PT,59.72,scattered clouds,37.7333,-25.6667,Hotel Talisman
333,Maarianhamina,AX,26.46,light snow,60.0973,19.9348,Hotell Esplanad
334,Toba,JP,42.8,overcast clouds,34.4833,136.85,鳥羽シーサイドホテル
338,Ambilobe,MG,72.25,broken clouds,-13.2,49.05,Hôtel National
341,Magadan,RU,-3.48,overcast clouds,59.5667,150.8,Гостиница «ВМ-Центр»
342,Videira,BR,61.43,clear sky,-27.0083,-51.1517,Hotel Brazão
343,Daugavpils,LV,8.76,overcast clouds,55.8833,26.5333,SanMari
345,Ca Mau,VN,72.19,overcast clouds,9.1769,105.15,Khách sạn Song Ngọc
347,Svetlogorsk,BY,11.61,overcast clouds,52.6333,29.7333,Гостиница Светочь
348,Bafia,CM,73.51,overcast clouds,4.75,11.2333,Hôtel Born Biyem
352,Nowa Deba,PL,45.39,overcast clouds,50.4297,21.7508,Hotel Szypowski
353,Vestmannaeyjar,IS,32.0,overcast clouds,63.4427,-20.2734,Westman Islands Inn
354,Guerrero Negro,MX,61.99,clear sky,27.9769,-114.0611,Plaza sal paraiso
356,Tromso,NO,17.38,clear sky,69.6496,18.957,Clarion Collection Hotel Aurora
357,Port Blair,IN,80.01,overcast clouds,11.6667,92.75,Andaman Ocean Breeze
358,Medina,SA,54.03,few clouds,24.4686,39.6142,The Oberoi Madina
359,Sabang,ID,79.7,broken clouds,5.8933,95.3214,Sabang Hill
360,Luganville,VU,86.65,overcast clouds,-15.5333,167.1667,Beachfront Resort
362,Norrkoping,SE,32.58,overcast clouds,58.5942,16.1826,Hotel President
365,Coquimbo,CL,64.13,clear sky,-29.9533,-71.3436,Hotel Iberia
367,Yar-Sale,RU,-33.59,overcast clouds,66.8333,70.8333,ЯЛЭМД
369,Bengkulu,ID,76.59,broken clouds,-3.8004,102.2655,Dena Hotel
370,Kirkenaer,NO,25.3,light snow,60.4564,12.0582,Skaslien Gjestgiveri
371,Garowe,SO,66.76,clear sky,8.4054,48.4845,Red Sea
372,Acajutla,SV,77.65,clear sky,13.5928,-89.8275,Hotel Lara
373,New Ulm,US,3.58,scattered clouds,44.3125,-94.4605,Microtel Inn & Suites by Wyndham New Ulm
377,Surt,LY,58.57,clear sky,31.2089,16.5887,فندق المدينة-سرت
378,Kokopo,PG,85.01,overcast clouds,-4.352,152.2633,Hotel Kokopo
379,Karratha,AU,86.76,clear sky,-20.7377,116.8463,Karratha International Hotel
381,Mogadishu,SO,76.95,scattered clouds,2.0371,45.3438,SYL Hotel
382,Muros,ES,58.08,light rain,42.7762,-9.0603,Pensión Ría de Muros
384,Ranong,TH,76.59,overcast clouds,9.9658,98.6348,Rattana Sin Hotel
385,Nemuro,JP,29.01,clear sky,43.3236,145.575,イーストハーバーホテル
386,Marataizes,BR,72.07,overcast clouds,-21.0433,-40.8244,Saveiros Palace Hotel
387,Mecca,SA,64.8,clear sky,21.4267,39.8261,Rehab Al Marwa Hotel 1
388,Kropotkin,RU,31.95,light snow,45.4375,40.5756,Европа
389,Vangaindrano,MG,72.16,scattered clouds,-23.35,47.6,Fanilo
391,Sistranda,NO,30.16,overcast clouds,63.7256,8.834,Hotell Frøya
392,Omsukchan,RU,-38.67,overcast clouds,62.5333,155.8,Гостиница Зори
393,Mabaruma,GY,71.94,broken clouds,8.2,-59.7833,Monty Brooms Hotel
395,Naze,JP,59.92,clear sky,28.3667,129.4833,ビジネス旅館畠山
396,Amurzet,RU,-9.85,scattered clouds,47.6967,131.0981,Гостиница Жемчужинка
397,Hearst,CA,7.54,overcast clouds,49.6835,-83.6665,Companion Hotel
398,Ambanja,MG,72.91,broken clouds,-13.6833,48.45,Hôtel Salama Rose
403,Solnechnyy,RU,-3.64,broken clouds,50.7214,136.6319,Заря
405,San Vicente,AR,63.5,clear sky,-26.6167,-54.1333,Los Lapachos
406,Dabeiba,CO,72.77,overcast clouds,7.0017,-76.2672,Hotel Cactus
407,Mananjary,MG,73.53,clear sky,-21.2167,48.3333,Ideal Hotel Annexe
408,Lamu,KE,77.22,clear sky,-2.2717,40.902,Hotel Archipelago villa bed and breakfast
411,Catia La Mar,VE,79.0,scattered clouds,10.6038,-67.0303,Posada La Parada
412,Chumikan,RU,-10.3,few clouds,54.7183,135.315,ТАТЬЯНА
413,Havre-Saint-Pierre,CA,17.91,overcast clouds,50.2334,-63.5986,Complexe MV
416,Port Augusta,AU,91.65,clear sky,-32.5,137.7667,Hotel Commonwealth
418,Puerto Carreno,CO,83.26,overcast clouds,6.189,-67.4859,Carreño Plaza
419,Schneeberg,DE,45.07,overcast clouds,50.6,12.6333,Berghotel Steiger
421,Baghdad,IQ,40.91,fog,33.3406,44.4009,AL Bedaa Hotel
422,Kenscoff,HT,64.54,light rain,18.4506,-72.2869,Auberge Bellecour
423,Santa Maria,BR,72.79,clear sky,-29.6842,-53.8069,Hotel Morotin
424,Akyab,MM,64.89,clear sky,20.15,92.9,Yuzana Aung Motel 1
425,Sur,OM,67.98,clear sky,22.5667,59.5289,Sur Hotel
